Hours,Summary_Date,Time,Tubing_Pressure,Casing_Pressure,Oil_Data_Hourly,Water_Data_Hourly,Gas_Data_Hourly,
463,11/30/1992,12:00,63.25,57.50,15.41,11.73,6.52,
464,11/30/1992,13:00,63.25,57.50,11.62,13.46,6.87,
465,11/30/1992,14:00,63.25,57.50,12.08,14.38,6.90,
466,11/30/1992,15:00,63.25,57.50,13.80,15.18,6.89,
467,11/30/1992,16:00,63.25,57.50,16.45,17.48,6.84,
468,11/30/1992,17:00,63.25,57.50,14.84,16.91,6.79,
469,11/30/1992,18:00,63.25,57.50,16.91,19.90,6.70,
470,11/30/1992,19:00,63.25,57.50,15.30,11.73,6.79,
471,11/30/1992,20:00,63.25,57.50,14.15,11.62,6.38,
472,11/30/1992,21:00,63.25,57.50,11.85,13.46,6.72,
473,11/30/1992,22:00,63.25,57.50,14.38,15.41,6.60,
474,11/30/1992,23:00,69.00,57.50,16.45,17.48,6.70,
475,11/30/1992,0:00,63.25,57.50,13.46,15.07,6.70,
476,11/30/1992,1:00,57.50,51.75,17.48,17.48,5.84,
477,11/30/1992,2:00,63.25,57.50,17.48,17.48,6.54,
478,11/30/1992,3:00,63.25,57.50,16.91,18.98,6.70,
479,11/30/1992,4:00,63.25,57.50,14.61,11.62,5.97,
480,11/30/1992,5:00,63.25,57.50,13.57,11.85,5.87,
481,11/30/1992,6:00,63.25,57.50,12.77,11.62,6.69,
482,12/1/1992,7:00,63.25,57.50,12.77,11.73,6.79,
483,12/1/1992,8:00,63.25,57.50,15.18,10.47,6.67,
484,12/1/1992,9:00,63.25,57.50,12.88,14.38,6.60,
485,12/1/1992,10:00,63.25,57.50,17.14,18.06,6.69,
486,12/1/1992,11:00,63.25,57.50,15.64,14.15,6.30,
487,12/1/1992,12:00,63.25,57.50,18.52,16.68,6.74,
488,12/1/1992,13:00,63.25,57.50,18.63,16.33,6.33,
489,12/1/1992,14:00,63.25,57.50,18.63,17.37,6.15,
490,12/1/1992,15:00,63.25,57.50,14.38,14.03,6.67,
491,12/1/1992,16:00,63.25,57.50,15.53,12.31,6.67,
492,12/1/1992,17:00,63.25,57.50,15.87,12.77,6.68,
493,12/1/1992,18:00,63.25,57.50,18.63,15.53,5.84,
494,12/1/1992,19:00,63.25,57.50,19.32,16.33,5.85,
495,12/1/1992,20:00,63.25,57.50,16.45,14.61,5.85,
496,12/1/1992,21:00,57.50,57.50,18.06,14.26,5.83,
497,12/1/1992,22:00,57.50,51.75,11.62,10.01,6.47,
498,12/1/1992,23:00,57.50,51.75,17.48,13.46,5.84,
499,12/1/1992,0:00,57.50,51.75,17.48,11.62,6.54,
500,12/1/1992,1:00,57.50,51.75,16.91,14.15,6.19,
501,12/1/1992,2:00,57.50,51.75,14.61,10.81,6.53,
502,12/1/1992,3:00,57.50,51.75,13.69,10.70,6.53,
503,12/1/1992,4:00,57.50,51.75,15.64,13.34,6.38,
504,12/1/1992,5:00,57.50,51.75,14.61,10.81,6.65,
505,12/1/1992,6:00,63.25,51.75,11.27,10.47,6.28,
506,12/2/1992,7:00,59.80,51.75,17.60,11.62,6.52,
507,12/2/1992,8:00,59.80,51.75,11.62,9.32,6.50,
508,12/2/1992,9:00,59.80,51.75,11.62,10.47,6.47,
509,12/2/1992,10:00,59.80,54.05,16.33,14.61,6.44,
510,12/2/1992,11:00,57.50,51.75,13.92,11.62,6.46,
511,12/2/1992,12:00,57.50,51.75,17.94,13.00,6.56,
512,12/2/1992,13:00,57.50,51.75,16.56,12.08,6.41,
513,12/2/1992,14:00,59.80,57.50,17.37,11.16,6.59,
514,12/2/1992,15:00,60.95,57.50,17.48,11.62,6.58,
515,12/2/1992,16:00,59.80,57.50,17.48,13.57,6.64,
516,12/2/1992,17:00,60.95,57.50,17.02,11.73,6.59,
517,12/2/1992,18:00,59.80,57.50,11.62,9.32,6.50,
518,12/2/1992,19:00,57.50,51.75,17.48,17.71,6.57,
519,12/2/1992,20:00,57.50,51.75,14.61,12.19,6.66,
520,12/2/1992,21:00,59.80,51.75,17.48,11.16,6.61,
521,12/2/1992,22:00,57.50,51.75,17.48,11.62,6.61,
522,12/2/1992,23:00,57.50,51.75,17.48,11.62,6.59,
523,12/2/1992,0:00,57.50,51.75,17.48,11.16,6.31,
524,12/2/1992,1:00,59.80,51.75,11.62,9.32,6.35,
525,12/2/1992,2:00,57.50,51.75,16.79,8.97,6.76,
526,12/2/1992,3:00,57.50,51.75,14.61,12.19,6.79,
527,12/2/1992,4:00,57.50,51.75,11.62,9.32,6.76,
528,12/2/1992,5:00,57.50,51.75,15.41,10.93,6.75,
529,12/2/1992,6:00,58.65,51.75,11.73,8.17,7.15,
530,12/3/1992,7:00,57.50,51.75,14.03,8.05,6.84,
531,12/3/1992,8:00,57.50,51.75,11.85,11.73,6.45,
532,12/3/1992,9:00,57.50,51.75,17.48,11.62,6.87,
533,12/3/1992,10:00,59.80,51.75,17.48,8.05,6.45,
534,12/3/1992,11:00,60.95,51.75,14.49,9.20,6.73,
535,12/3/1992,12:00,57.50,51.75,11.62,10.35,6.82,
536,12/3/1992,13:00,57.50,51.75,13.23,11.73,6.70,
537,12/3/1992,14:00,57.50,51.75,13.92,11.50,6.73,
538,12/3/1992,15:00,57.50,51.75,16.22,13.80,6.75,
539,12/3/1992,16:00,57.50,54.05,12.65,8.05,6.82,
540,12/3/1992,17:00,59.80,51.75,14.15,12.31,6.41,
541,12/3/1992,18:00,57.50,51.75,17.94,11.62,6.45,
542,12/3/1992,19:00,57.50,51.75,14.26,10.93,6.41,
543,12/3/1992,20:00,57.50,51.75,17.14,11.73,6.41,
544,12/3/1992,21:00,57.50,51.75,17.60,11.62,6.76,
545,12/3/1992,22:00,57.50,51.75,11.62,11.62,6.87,
546,12/3/1992,23:00,57.50,51.75,17.48,11.62,6.70,
547,12/3/1992,0:00,57.50,51.75,17.48,11.62,6.76,
548,12/3/1992,1:00,57.50,51.75,12.65,8.05,6.88,
549,12/3/1992,2:00,57.50,51.75,14.26,10.93,5.99,
550,12/3/1992,3:00,57.50,51.75,17.48,11.62,6.90,
551,12/3/1992,4:00,57.50,51.75,17.14,11.16,6.88,
552,12/3/1992,5:00,57.50,51.75,15.76,11.04,6.53,
553,12/3/1992,6:00,57.50,51.75,17.37,11.50,6.89,
554,12/4/1992,7:00,59.80,51.75,17.60,11.62,6.88,
555,12/4/1992,8:00,57.50,51.75,18.63,10.81,6.26,
556,12/4/1992,9:00,62.10,51.75,16.33,9.09,7.38,
557,12/4/1992,10:00,59.80,51.75,17.48,11.50,6.79,
558,12/4/1992,11:00,59.80,51.75,17.48,11.62,6.79,
559,12/4/1992,12:00,59.80,51.75,18.75,8.17,6.46,
560,12/4/1992,13:00,59.80,57.50,17.25,12.65,6.53,
561,12/4/1992,14:00,57.50,57.50,13.80,6.90,6.81,
562,12/4/1992,15:00,57.50,51.75,10.81,8.05,6.87,
563,12/4/1992,16:00,63.25,57.50,18.75,12.19,6.92,
564,12/4/1992,17:00,60.95,57.50,16.45,9.32,6.81,
565,12/4/1992,18:00,57.50,57.50,11.62,7.25,6.47,
566,12/4/1992,19:00,63.25,51.75,10.81,8.05,7.81,
567,12/4/1992,20:00,57.50,51.75,17.48,11.62,6.19,
568,12/4/1992,21:00,60.95,51.75,17.48,11.62,7.04,
569,12/4/1992,22:00,57.50,51.75,16.45,9.32,7.16,
570,12/4/1992,23:00,57.50,51.75,17.25,12.65,6.03,
571,12/4/1992,0:00,57.50,51.75,17.48,10.24,7.22,
572,12/4/1992,1:00,57.50,51.75,16.45,10.58,6.13,
573,12/4/1992,2:00,57.50,51.75,17.48,11.62,6.41,
574,12/4/1992,3:00,57.50,51.75,11.50,7.71,6.96,
575,12/4/1992,4:00,63.25,57.50,11.04,11.62,6.95,
576,12/4/1992,5:00,57.50,51.75,11.50,7.71,6.59,
577,12/4/1992,6:00,57.50,51.75,16.22,11.62,6.84,
578,12/5/1992,7:00,59.80,51.75,18.75,11.62,7.28,
579,12/5/1992,8:00,46.00,46.00,17.48,11.62,4.91,
580,12/5/1992,9:00,57.50,57.50,11.62,7.59,6.92,
581,12/5/1992,10:00,57.50,51.75,17.48,11.04,6.90,
582,12/5/1992,11:00,57.50,51.75,17.60,11.62,6.76,
583,12/5/1992,12:00,56.35,51.75,12.42,9.32,6.28,
584,12/5/1992,13:00,57.50,57.50,14.15,11.50,7.21,
585,12/5/1992,14:00,64.40,57.50,14.38,11.73,8.19,
586,12/5/1992,15:00,46.00,51.75,16.33,10.70,5.60,
587,12/5/1992,16:00,57.50,51.75,11.62,8.86,6.51,
588,12/5/1992,17:00,57.50,51.75,14.26,9.55,6.46,
589,12/5/1992,18:00,57.50,51.75,11.62,8.86,4.46,
590,12/5/1992,19:00,57.50,51.75,14.15,11.50,6.89,
591,12/5/1992,20:00,57.50,51.75,10.58,7.13,6.90,
592,12/5/1992,21:00,57.50,51.75,11.62,8.86,7.48,
593,12/5/1992,22:00,63.25,57.50,15.07,11.16,6.56,
594,12/5/1992,23:00,74.75,63.25,17.48,11.62,7.73,
595,12/5/1992,0:00,57.50,51.75,14.15,11.50,6.05,
596,12/5/1992,1:00,63.25,57.50,11.73,8.40,7.22,
597,12/5/1992,2:00,63.25,57.50,15.76,10.70,6.90,
598,12/5/1992,3:00,63.25,57.50,13.46,11.27,7.15,
599,12/5/1992,4:00,51.75,46.00,11.62,7.48,5.74,
600,12/5/1992,5:00,57.50,51.75,13.00,9.32,5.42,
601,12/5/1992,6:00,69.00,57.50,17.94,11.50,7.59,
602,12/6/1992,7:00,57.50,51.75,16.45,13.00,6.91,
603,12/6/1992,8:00,63.25,57.50,18.86,12.42,7.19,
604,12/6/1992,9:00,66.70,57.50,15.64,9.43,7.16,
605,12/6/1992,10:00,57.50,57.50,11.85,15.07,6.56,
606,12/6/1992,11:00,60.95,54.05,14.38,11.04,6.21,
607,12/6/1992,12:00,57.50,57.50,11.62,11.62,6.88,
608,12/6/1992,13:00,57.50,64.40,11.73,10.81,6.56,
609,12/6/1992,14:00,69.00,59.80,14.49,13.80,7.84,
610,12/6/1992,15:00,57.50,57.50,15.07,11.62,6.88,
611,12/6/1992,16:00,66.70,57.50,11.62,8.17,6.90,
612,12/6/1992,17:00,65.55,57.50,15.64,11.62,6.97,
613,12/6/1992,18:00,55.20,51.75,13.57,11.62,6.77,
614,12/6/1992,19:00,69.00,51.75,15.07,11.62,7.25,
615,12/6/1992,20:00,63.25,57.50,11.73,7.71,6.72,
616,12/6/1992,21:00,63.25,51.75,11.62,5.75,6.24,
617,12/6/1992,22:00,57.50,51.75,10.47,8.40,7.99,
618,12/6/1992,23:00,57.50,51.75,12.65,7.48,6.68,
619,12/6/1992,0:00,57.50,51.75,11.62,6.90,5.85,
620,12/6/1992,1:00,63.25,51.75,15.64,11.62,7.28,
621,12/6/1992,2:00,51.75,46.00,11.62,6.33,5.87,
622,12/6/1992,3:00,57.50,51.75,13.57,10.01,7.07,
623,12/6/1992,4:00,57.50,51.75,11.62,6.44,8.52,
624,12/6/1992,5:00,57.50,51.75,10.58,6.10,7.08,
625,12/6/1992,6:00,69.00,51.75,11.62,11.16,7.16,
626,12/7/1992,7:00,63.25,51.75,14.15,10.01,7.13,
627,12/7/1992,8:00,63.25,51.75,13.57,8.40,5.30,
628,12/7/1992,9:00,63.25,51.75,11.62,6.67,7.16,
629,12/7/1992,10:00,57.50,46.00,13.00,7.71,5.85,
630,12/7/1992,11:00,51.75,46.00,11.62,7.02,5.87,
631,12/7/1992,12:00,51.75,51.75,10.47,5.75,6.90,
632,12/7/1992,13:00,57.50,57.50,16.33,11.85,6.21,
633,12/7/1992,14:00,55.20,57.50,10.35,7.02,6.18,
634,12/7/1992,15:00,57.50,57.50,15.30,8.17,6.83,
635,12/7/1992,16:00,55.20,57.50,17.48,11.62,6.21,
636,12/7/1992,17:00,57.50,57.50,15.76,11.04,6.35,
637,12/7/1992,18:00,57.50,51.75,10.35,7.02,6.35,
638,12/7/1992,19:00,57.50,51.75,11.73,7.71,5.89,
639,12/7/1992,20:00,57.50,51.75,13.00,5.75,6.81,
640,12/7/1992,21:00,57.50,51.75,11.73,5.75,5.69,
641,12/7/1992,22:00,63.25,57.50,11.62,7.13,6.95,
642,12/7/1992,23:00,57.50,51.75,17.48,11.50,6.69,
643,12/7/1992,0:00,51.75,46.00,11.73,6.56,5.74,
644,12/7/1992,1:00,57.50,51.75,11.62,7.71,6.90,
645,12/7/1992,2:00,57.50,51.75,10.35,6.56,6.95,
646,12/7/1992,3:00,51.75,46.00,13.23,7.25,5.78,
647,12/7/1992,4:00,57.50,51.75,17.48,11.62,6.45,
648,12/7/1992,5:00,57.50,51.75,15.41,9.09,6.95,
649,12/7/1992,6:00,40.25,46.00,11.62,7.71,5.91,
650,12/8/1992,7:00,69.00,57.50,13.23,8.86,7.19,
651,12/8/1992,8:00,8.05,69.00,17.48,8.51,7.98,
652,12/8/1992,9:00,51.75,46.00,11.39,7.82,5.54,
653,12/8/1992,10:00,57.50,57.50,10.70,6.67,6.23,
654,12/8/1992,11:00,57.50,57.50,13.92,9.89,6.31,
655,12/8/1992,12:00,51.75,51.75,14.03,7.02,5.90,
656,12/8/1992,13:00,48.30,51.75,11.62,7.02,5.90,
657,12/8/1992,14:00,69.00,69.00,17.48,9.32,7.21,
658,12/8/1992,15:00,69.00,69.00,14.03,7.02,8.20,
659,12/8/1992,16:00,69.00,69.00,17.60,11.62,5.64,
660,12/8/1992,17:00,63.25,57.50,13.00,9.66,6.61,
661,12/8/1992,18:00,80.50,74.75,10.70,6.67,9.67,
662,12/8/1992,19:00,46.00,46.00,11.73,7.02,5.31,
663,12/8/1992,20:00,51.75,46.00,11.62,7.02,5.69,
664,12/8/1992,21:00,69.00,63.25,11.73,5.87,7.94,
665,12/8/1992,22:00,69.00,63.25,13.00,5.87,8.31,
666,12/8/1992,23:00,51.75,46.00,17.48,11.62,5.99,
667,12/8/1992,0:00,69.00,63.25,17.48,9.89,7.30,
668,12/8/1992,1:00,74.75,69.00,17.37,8.28,8.98,
669,12/8/1992,2:00,46.00,46.00,11.50,5.87,4.93,
670,12/8/1992,3:00,57.50,51.75,15.76,10.24,4.95,
671,12/8/1992,4:00,69.00,63.25,13.00,7.71,8.83,
672,12/8/1992,5:00,63.25,57.50,11.50,5.87,7.28,
673,12/8/1992,6:00,28.75,46.00,11.62,6.44,4.86,
674,12/9/1992,7:00,69.00,57.50,17.48,8.63,7.69,
675,12/9/1992,8:00,69.00,69.00,16.56,6.90,8.87,
676,12/9/1992,9:00,51.75,57.50,14.61,7.48,6.92,
677,12/9/1992,10:00,46.00,57.50,10.70,5.75,5.81,
678,12/9/1992,11:00,51.75,51.75,14.61,7.25,5.92,
679,12/9/1992,12:00,74.75,74.75,17.37,6.90,8.46,
680,12/9/1992,13:00,57.50,57.50,17.37,8.17,7.02,
681,12/9/1992,14:00,46.00,46.00,18.40,8.17,5.52,
682,12/9/1992,15:00,63.25,57.50,11.85,5.75,7.37,
683,12/9/1992,16:00,63.25,57.50,17.60,6.90,7.42,
684,12/9/1992,17:00,69.00,69.00,15.41,7.02,8.17,
685,12/9/1992,18:00,51.75,46.00,11.62,11.62,3.55,
686,12/9/1992,19:00,46.00,46.00,11.50,5.75,5.38,
687,12/9/1992,20:00,57.50,51.75,11.85,11.73,10.57,
688,12/9/1992,21:00,63.25,57.50,17.48,9.55,8.88,
689,12/9/1992,22:00,49.45,52.90,11.62,5.75,5.55,
690,12/9/1992,23:00,71.30,52.90,11.62,5.87,5.16,
691,12/9/1992,0:00,74.75,69.00,17.48,11.62,8.88,
692,12/9/1992,1:00,69.00,69.00,5.87,5.87,7.88,
693,12/9/1992,2:00,44.85,46.00,5.75,5.75,4.46,
694,12/9/1992,3:00,66.70,54.05,11.62,5.75,6.69,
695,12/9/1992,4:00,66.70,57.50,17.48,6.79,9.55,
696,12/9/1992,5:00,69.00,63.25,11.85,5.87,8.90,
697,12/9/1992,6:00,34.50,40.25,12.54,5.75,4.38,
698,12/10/1992,7:00,69.00,63.25,17.83,11.39,6.91,
699,12/10/1992,8:00,80.50,69.00,17.14,8.40,8.90,
700,12/10/1992,9:00,46.00,46.00,11.50,5.75,5.95,
701,12/10/1992,10:00,46.00,46.00,11.62,5.87,6.15,
702,12/10/1992,11:00,51.75,46.00,14.15,7.13,5.89,
703,12/10/1992,12:00,63.25,57.50,11.62,9.78,8.10,
704,12/10/1992,13:00,40.25,40.25,11.62,6.33,5.19,
705,12/10/1992,14:00,51.75,51.75,11.62,7.02,6.10,
706,12/10/1992,15:00,74.75,74.75,23.35,5.87,9.37,
707,12/10/1992,16:00,69.00,69.00,20.93,5.87,8.43,
708,12/10/1992,17:00,69.00,63.25,19.09,7.02,7.77,
709,12/10/1992,18:00,34.50,34.50,11.62,5.75,3.94,
710,12/10/1992,19:00,34.50,34.50,11.62,5.75,3.97,
711,12/10/1992,20:00,82.80,74.75,11.85,5.87,10.17,
712,12/10/1992,21:00,86.25,80.50,11.62,5.87,10.03,
713,12/10/1992,22:00,57.50,51.75,0.00,0.00,5.96,
714,12/10/1992,23:00,23.00,23.00,0.00,0.00,2.90,
715,12/10/1992,0:00,32.20,26.45,0.00,0.00,4.08,
716,12/10/1992,1:00,0.00,23.00,0.00,0.00,0.00,
717,12/10/1992,2:00,0.00,23.00,0.00,0.00,0.00,
718,12/10/1992,3:00,0.00,0.00,0.00,0.00,0.00,
719,12/10/1992,4:00,63.25,57.50,11.62,11.62,7.06,
720,12/10/1992,5:00,57.50,51.75,11.62,11.62,6.19,
721,12/10/1992,6:00,34.50,46,14.49,7.02,4.06,
722,12/11/1992,7:00,63.25,69,17.37,6.67,7.51,
723,12/11/1992,8:00,69.00,69,11.73,5.75,9.18,
724,12/11/1992,9:00,69.00,69,13.92,9.43,9.57,
725,12/11/1992,10:00,63.25,69,13.92,8.05,8.46,
726,12/11/1992,11:00,63.25,63,16.22,7.25,7.25,
727,12/11/1992,12:00,63.25,63.25,11.73,7.02,7.35,
728,12/11/1992,13:00,69.00,69.00,14.15,5.87,7.43,
729,12/11/1992,14:00,69.00,69.00,11.62,5.87,8.69,
730,12/11/1992,15:00,69.00,69.00,8.40,5.18,7.42,
731,12/11/1992,16:00,69.00,57.50,14.03,5.75,7.37,
732,12/11/1992,17:00,69.00,63.25,15.30,5.87,7.39,
733,12/11/1992,18:00,74.75,69.00,11.50,10.35,7.73,
734,12/11/1992,19:00,74.75,69.00,11.62,10.24,7.73,
735,12/11/1992,20:00,74.75,69.00,11.62,5.29,7.74,
736,12/11/1992,21:00,74.75,69.00,17.48,5.18,7.73,
737,12/11/1992,22:00,74.75,74.75,17.48,10.24,7.75,
738,12/11/1992,23:00,74.75,69.00,11.62,5.06,8.13,
739,12/11/1992,0:00,74.75,69.00,17.48,10.35,8.49,
740,12/11/1992,1:00,77.05,69.00,17.48,5.06,9.14,
741,12/11/1992,2:00,72.45,69.00,11.73,5.18,9.44,
742,12/11/1992,3:00,74.75,69.00,17.37,10.24,9.46,
743,12/11/1992,4:00,69.00,63.25,11.73,5.06,8.86,
744,12/11/1992,5:00,69.00,63.25,11.62,5.06,8.82,
745,12/11/1992,6:00,74.75,74.75,11.62,5.06,9.78,
746,12/12/1992,7:00,57.50,57.50,11.73,5.18,7.54,
747,12/12/1992,8:00,57.50,57.50,11.73,5.06,8.41,
748,12/12/1992,9:00,57.50,57.50,11.62,5.29,7.83,
749,12/12/1992,10:00,69.00,80.50,17.37,9.55,8.91,
750,12/12/1992,11:00,63.25,69.00,14.26,5.06,8.42,
751,12/12/1992,12:00,57.50,69.00,17.48,8.05,8.68,
752,12/12/1992,13:00,57.50,69.00,11.73,5.75,8.14,
753,12/12/1992,14:00,59.80,69.00,17.37,7.02,7.12,
754,12/12/1992,15:00,57.50,69.00,16.33,6.90,6.76,
755,12/12/1992,16:00,60.95,69.00,11.62,7.02,6.79,
756,12/12/1992,17:00,62.10,69.00,16.33,7.02,6.79,
757,12/12/1992,18:00,63.25,69.00,17.48,5.87,6.03,
758,12/12/1992,19:00,63.25,69.00,17.48,5.87,6.01,
759,12/12/1992,20:00,63.25,69.00,11.62,5.75,6.01,
760,12/12/1992,21:00,63.25,69.00,17.48,5.87,6.01,
761,12/12/1992,22:00,57.50,69.00,17.48,5.87,6.34,
762,12/12/1992,23:00,63.25,69.00,11.62,5.75,6.81,
763,12/12/1992,0:00,63.25,69.00,11.62,5.75,7.20,
764,12/12/1992,1:00,63.25,69.00,17.48,5.87,7.19,
765,12/12/1992,2:00,63.25,69.00,17.48,5.87,7.18,
766,12/12/1992,3:00,63.25,69.00,17.48,5.87,7.45,
767,12/12/1992,4:00,63.25,69.00,11.62,11.62,8.14,
768,12/12/1992,5:00,63.25,69.00,17.48,5.87,7.21,
769,12/12/1992,6:00,57.50,69.00,17.48,6.79,8.00,
770,12/13/1992,7:00,57.50,69.00,17.37,7.94,7.56,
771,12/13/1992,8:00,57.50,69.00,11.96,5.87,7.20,
772,12/13/1992,9:00,57.50,69.00,17.48,8.63,7.20,
773,12/13/1992,10:00,57.50,69.00,17.37,5.87,6.96,
774,12/13/1992,11:00,57.50,69.00,15.41,5.87,7.30,
775,12/13/1992,12:00,57.50,69.00,11.62,5.75,6.95,
776,12/13/1992,13:00,57.50,69.00,17.48,5.87,6.99,
777,12/13/1992,14:00,57.50,69.00,16.10,5.87,6.96,
778,12/13/1992,15:00,57.50,69.00,11.62,5.87,6.96,
779,12/13/1992,16:00,57.50,69.00,17.37,5.87,6.96,
780,12/13/1992,17:00,57.50,69.00,17.37,5.87,6.90,
781,12/13/1992,18:00,57.50,69.00,17.48,6.21,6.92,
782,12/13/1992,19:00,57.50,69.00,11.62,5.87,6.90,
783,12/13/1992,20:00,57.50,69.00,11.62,5.87,6.92,
784,12/13/1992,21:00,57.50,69.00,17.48,5.87,6.90,
785,12/13/1992,22:00,57.50,69.00,11.62,5.87,6.90,
786,12/13/1992,23:00,57.50,69.00,17.48,5.87,6.89,
787,12/13/1992,0:00,57.50,69.00,11.62,5.87,6.93,
788,12/13/1992,1:00,57.50,69.00,17.48,5.87,6.95,
789,12/13/1992,2:00,57.50,69.00,11.73,5.87,6.92,
790,12/13/1992,3:00,57.50,69.00,11.62,6.44,6.98,
791,12/13/1992,4:00,57.50,69.00,11.62,6.44,6.90,
792,12/13/1992,5:00,57.50,69.00,11.73,5.87,6.91,
793,12/13/1992,6:00,57.50,69.00,17.48,5.87,6.99,
794,12/14/1992,7:00,57.50,69.00,11.62,5.87,6.72,
795,12/14/1992,8:00,57.50,69.00,17.37,5.87,7.19,
796,12/14/1992,9:00,57.50,69.00,11.62,5.87,7.02,
797,12/14/1992,10:00,57.50,69.00,11.62,5.87,6.57,
798,12/14/1992,11:00,57.50,69.00,11.62,5.87,6.59,
799,12/14/1992,12:00,57.50,69.00,11.62,6.10,6.96,
800,12/14/1992,13:00,57.50,69.00,17.48,5.87,6.89,
801,12/14/1992,14:00,57.50,69.00,11.62,11.62,6.83,
802,12/14/1992,15:00,57.50,69.00,11.73,5.75,6.84,
803,12/14/1992,16:00,57.50,69.00,14.15,5.87,6.91,
804,12/14/1992,17:00,57.50,69.00,17.37,5.87,6.90,
805,12/14/1992,18:00,57.50,69.00,17.14,5.87,6.82,
806,12/14/1992,19:00,57.50,69.00,11.62,5.75,6.99,
807,12/14/1992,20:00,57.50,69.00,11.73,5.87,6.90,
808,12/14/1992,21:00,57.50,69.00,11.62,5.87,6.93,
809,12/14/1992,22:00,57.50,69.00,17.48,11.62,6.90,
810,12/14/1992,23:00,57.50,69.00,11.62,5.75,6.88,
811,12/14/1992,0:00,57.50,69.00,11.62,5.75,6.85,
812,12/14/1992,1:00,57.50,69.00,17.48,5.87,6.37,
813,12/14/1992,2:00,57.50,69.00,11.73,5.87,6.37,
814,12/14/1992,3:00,57.50,69.00,11.62,5.75,6.27,
815,12/14/1992,4:00,57.50,69.00,17.48,11.73,6.84,
816,12/14/1992,5:00,57.50,69.00,11.62,5.75,6.50,
817,12/14/1992,6:00,57.50,69.00,11.62,5.75,6.49,
818,12/15/1992,7:00,57.50,69.00,16.22,5.87,6.83,
819,12/15/1992,8:00,51.75,69.00,17.37,8.17,6.38,
820,12/15/1992,9:00,57.50,69.00,11.62,5.87,7.13,
821,12/15/1992,10:00,57.50,69.00,11.62,5.87,6.90,
822,12/15/1992,11:00,57.50,63.25,11.62,5.87,6.87,
823,12/15/1992,12:00,57.50,63.25,15.53,5.75,6.46,
824,12/15/1992,13:00,57.50,69.00,14.03,5.87,6.88,
825,12/15/1992,14:00,57.50,69.00,11.62,5.87,6.85,
826,12/15/1992,15:00,46.00,69.00,11.62,2.88,5.97,
827,12/15/1992,16:00,57.50,69.00,11.62,5.98,6.98,
828,12/15/1992,17:00,57.50,69.00,14.03,5.87,7.08,
829,12/15/1992,18:00,69.00,80.50,11.85,5.87,7.61,
830,12/15/1992,19:00,57.50,69.00,11.73,5.87,7.15,
831,12/15/1992,20:00,23.00,34.50,11.73,5.87,3.71,
832,12/15/1992,21:00,17.25,34.50,5.87,2.88,3.86,
833,12/15/1992,22:00,0.00,46.00,0.00,0.00,0.00,
834,12/15/1992,23:00,0.00,46.00,0.00,0.00,0.00,
835,12/15/1992,0:00,0.00,46.00,0.00,0.00,0.00,
836,12/15/1992,1:00,63.25,69.00,5.87,2.88,7.16,
837,12/15/1992,2:00,69.00,69.00,17.48,5.75,7.19,
838,12/15/1992,3:00,63.25,69.00,11.62,2.88,7.22,
839,12/15/1992,4:00,57.50,63.25,11.50,2.88,6.89,
840,12/15/1992,5:00,57.50,63.25,11.73,5.75,6.90,
841,12/15/1992,6:00,11.50,11.50,2.88,2.88,2.75,
842,12/16/1992,7:00,5.75,11.50,2.88,1.15,3.04,
843,12/16/1992,8:00,0.00,11.50,0.00,0.00,0.00,
844,12/16/1992,9:00,0.00,11.50,0.00,0.00,0.00,
845,12/16/1992,10:00,11.50,46.00,0.00,0.00,0.00,
846,12/16/1992,11:00,34.50,57.50,2.88,1.15,4.31,
847,12/16/1992,12:00,57.50,69.00,11.62,4.72,7.11,
848,12/16/1992,13:00,34.50,51.75,14.38,4.60,4.22,
849,12/16/1992,14:00,40.25,46.00,11.62,4.95,5.28,
850,12/16/1992,15:00,34.50,57.50,9.20,2.42,4.69,
851,12/16/1992,16:00,28.75,34.50,0.00,0.00,3.11,
852,12/16/1992,17:00,17.25,28.75,0.00,0.00,2.33,
853,12/16/1992,18:00,0.00,57.50,0.00,0.00,0.00,
854,12/16/1992,19:00,0.00,34.50,0.00,0.00,0.00,
855,12/16/1992,20:00,0.00,34.50,0.00,0.00,0.00,
856,12/16/1992,21:00,0.00,34.50,0.00,0.00,0.00,
857,12/16/1992,22:00,0.00,34.50,0.00,0.00,0.00,
858,12/16/1992,23:00,0.00,34.50,0.00,0.00,0.00,
859,12/16/1992,0:00,0.00,34.50,0.00,0.00,0.00,
860,12/16/1992,1:00,46.00,57.50,11.50,0.00,5.00,
861,12/16/1992,2:00,69.00,74.75,23.46,0.00,8.36,
862,12/16/1992,3:00,69.00,74.75,17.60,2.88,7.65,
863,12/16/1992,4:00,74.75,80.50,17.48,5.75,8.28,
864,12/16/1992,5:00,69.00,74.75,17.48,5.75,7.59,
865,12/16/1992,6:00,51.75,57.50,11.62,5.98,4.37,
866,12/17/1992,7:00,46.00,69.00,14.72,5.75,6.29,
867,12/17/1992,8:00,63.25,69.00,16.91,5.87,7.57,
868,12/17/1992,9:00,57.50,69.00,11.62,5.87,7.25,
869,12/17/1992,10:00,57.50,69.00,11.62,5.75,6.95,
870,12/17/1992,11:00,57.50,69.00,14.72,5.87,7.02,
871,12/17/1992,12:00,57.50,69.00,11.73,5.87,6.91,
872,12/17/1992,13:00,46.00,57.50,11.96,5.75,5.53,
