CORE_NO,permeability,porosity,perm_quality
4,66.1,0.218,good
4,63.3,0.208,good
4,23.6,0.173,moderate
4,67.5,0.212,good
4,8.11,0.156,fair
4,1.46,0.043,fair
4,1.89,0.053,fair
4,3.17,0.046,fair
4,1.56,0.051,fair
4,0.053,0.046,poor
4,1.07,0.038,fair
4,1.23,0.043,fair
4,3.38,0.132,fair
4,1.49,0.047,fair
4,0.38,0.056,poor
4,0.1,0.039,poor
4,1.17,0.067,fair
4,0.127,0.078,poor
4,0.655,0.119,poor
4,8.77,0.145,fair
4,0.312,0.091,poor
4,6,0.096,fair
4,4.57,0.17,fair
4,46.1,0.214,moderate
4,10.6,0.155,moderate
4,16.8,0.148,moderate
4,0.281,0.051,poor
4,1.12,0.105,fair
4,0.932,0.057,poor
4,0.306,0.1,poor
4,2.91,0.153,fair
4,1.2,0.095,fair
4,1.09,0.11,fair
4,0.39,0.104,poor
4,1.8,0.156,fair
4,17.4,0.1,moderate
4,1.38,0.034,fair
4,0.281,0.049,poor
4,1.19,0.069,fair
4,0.689,0.069,poor
4,8.91,0.051,fair
4,0.3,0.074,poor
4,0.206,0.083,poor
4,0.31,0.036,poor
4,0.395,0.057,poor
4,0.233,0.049,poor
4,0.558,0.111,poor
4,26.4,0.239,moderate
5,0.046,0.049,poor
5,8.06,0.151,fair
5,29.2,0.143,moderate
5,102,0.145,good
5,0.284,0.037,poor
5,6.18,0.15,fair
5,68.2,0.176,good
5,101,0.187,good
5,4.43,0.142,fair
5,50.6,0.206,good
5,41.5,0.175,moderate
5,39.9,0.181,moderate
5,10.5,0.244,moderate
5,1.3,0.148,fair
5,0.684,0.121,poor
5,0.413,0.079,poor
5,96.8,0.185,good
5,135,0.126,good
5,0.81,0.098,poor
5,0.774,0.101,poor
5,0.31,0.087,poor
5,0.384,0.076,poor
5,4.77,0.167,fair
5,6.56,0.146,fair
5,6.24,0.169,fair
5,1.17,0.133,fair
5,8.65,0.165,fair
5,2.3,0.147,fair
5,0.309,0.047,poor
5,2.62,0.1,fair
5,7.1,0.138,fair
5,0.379,0.084,poor
5,0.874,0.123,poor
5,2.4,0.124,fair
5,0.37,0.097,poor
5,0.21,0.066,poor
5,2.96,0.101,fair
5,2.95,0.105,fair
5,0.333,0.102,poor
5,0.239,0.133,poor
5,85.8,0.175,good
5,191,0.149,good
5,74.5,0.175,good
5,98,0.184,good
5,11.5,0.154,moderate
5,243,0.199,good
5,342,0.219,very good
5,394,0.202,very good
5,133,0.192,good
5,63.7,0.198,good
5,0.134,0.056,poor
5,0.277,0.046,poor
5,0.309,0.044,poor
5,2.43,0.077,fair
5,1240,0.207,very good
5,667,0.175,very good
5,76.7,0.2,good
5,6.38,0.103,fair
5,170,0.203,good
5,605,0.207,very good
5,58.9,0.175,good
5,627,0.168,very good
5,33.2,0.257,moderate
5,3.72,0.126,fair
5,243,0.18,good
5,145,0.19,good
5,355,0.18,very good
5,847,0.201,very good
5,949,0.226,very good
5,787,0.213,very good
5,496,0.209,very good
5,378,0.192,very good
5,678,0.199,very good
5,568,0.221,very good
5,59.5,0.185,good
5,0.311,0.095,poor
5,2.98,0.136,fair
